,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,NFLX,INTC,AMD,ADBE,PYPL,CSCO,ORCL,IBM,CRM,SAP,UBER,SQ,GOOG,BABA,V,MA,DIS,BAC,WFC,JPM,C,GS,MS,T,VZ,TMUS,CMCSA,XOM,CVX,COP,PFE,MRK,JNJ,UNH,PG,KO,PEP,MCD,WMT,HD,COST,TGT,NKE,SBUX
2024-01-26,192.42,159.12,152.185,394.14,403.93,610.31,183.25,570.42,43.65,177.25,613.93,61.78,52.14,114.64,187.42,279.94,173.68,65.52,64.97,153.79,74.01,267.94,438.53,95.36,33.43,50.32,172.28,53.67,377.79,87.73,17.29,42.4,162.16,46.26,103.0,149.14,112.23,27.47,120.82,159.5,503.2,156.14,59.37,167.86,292.26,164.27,355.3,686.88,142.53,102.75,92.8
2024-01-25,194.17,157.75,151.87,393.18,404.87,616.17,182.63,562.0,49.55,180.33,622.58,60.71,52.33,115.0,190.43,279.03,173.44,66.0,62.71,153.64,73.85,272.61,436.8,94.86,33.39,49.88,172.94,53.73,382.7,88.02,17.18,42.29,162.56,45.27,102.13,148.57,112.05,27.47,120.13,159.56,493.4,155.62,59.16,166.56,297.21,162.84,350.97,679.9,142.18,100.77,92.61
2024-01-24,194.5,156.87,148.7,390.7,402.56,613.62,207.83,544.87,49.09,178.29,606.48,63.02,51.31,114.31,173.93,276.88,174.61,63.76,62.57,150.35,75.2,271.65,438.7,93.5,32.98,49.49,170.5,53.26,379.4,87.57,16.68,41.28,162.0,43.8,99.6,144.92,109.67,28.33,118.88,158.96,513.23,152.12,58.91,165.6,300.44,160.5,347.27,686.51,139.2,100.76,92.04
2024-01-23,195.18,156.02,147.04,385.2,398.9,598.73,209.14,492.19,48.89,168.42,597.18,64.78,51.76,111.83,173.94,276.77,163.38,64.32,66.2,148.68,74.02,271.26,438.76,93.77,32.77,49.12,168.99,53.3,380.77,86.74,17.19,42.23,163.74,43.95,97.91,142.09,107.99,28.43,119.84,159.81,515.52,153.98,59.85,167.64,300.05,162.8,350.78,687.59,140.88,101.9,91.97
2024-01-22,193.89,154.78,145.99,381.78,396.51,596.54,208.8,485.71,48.22,168.18,603.59,63.74,51.57,110.1,172.83,280.3,163.21,64.55,66.69,147.71,68.63,271.2,439.75,95.08,32.55,48.53,170.11,52.84,385.96,85.73,16.8,39.58,164.38,43.62,96.82,142.49,108.06,28.31,119.43,162.47,512.99,147.86,59.57,165.11,298.41,162.39,356.69,692.51,140.36,100.56,93.07
2024-01-19,191.56,155.34,146.38,383.45,398.67,594.91,212.19,482.95,48.15,174.23,611.55,65.82,51.27,109.67,171.48,280.88,163.45,65.11,65.85,147.97,69.42,270.9,436.78,93.06,32.22,48.12,170.31,51.52,382.2,85.34,16.67,39.33,165.16,43.35,96.95,142.24,107.87,28.28,118.89,161.68,503.56,147.57,59.83,165.78,300.53,162.38,362.41,694.97,138.14,101.78,93.86
2024-01-18,188.63,153.5,143.48,376.13,393.87,571.07,211.88,485.31,46.74,162.67,593.7,62.09,50.75,108.7,166.84,274.46,160.43,64.88,64.47,144.99,68.05,268.14,430.72,92.21,31.73,46.44,167.42,51.11,376.91,83.9,16.4,38.94,164.89,42.54,96.8,141.82,106.93,28.09,118.54,161.21,516.34,148.14,60.16,167.17,294.36,163.24,357.9,687.31,137.4,100.94,93.34
2024-01-17,182.68,151.71,141.47,368.37,389.47,560.53,215.55,480.33,46.06,160.17,596.1,59.89,50.3,106.43,166.08,271.44,157.78,63.12,63.9,142.89,68.93,266.63,427.42,90.34,31.8,46.67,167.09,51.36,377.18,84.41,16.41,38.87,164.27,42.35,96.98,143.12,107.57,28.15,118.13,160.43,524.94,149.94,59.99,166.44,291.16,161.07,355.7,684.19,138.74,100.82,91.77
2024-01-16,183.63,153.16,142.49,367.46,390.27,563.82,219.91,481.24,47.06,158.74,597.68,58.45,50.59,106.57,166.96,269.19,156.82,63.65,65.16,144.08,69.46,265.24,428.35,93.05,32.12,46.82,167.99,51.87,380.45,85.97,16.44,39.29,163.08,43.09,97.69,143.69,108.64,28.32,118.49,160.52,519.15,149.79,59.99,166.17,291.09,161.83,358.43,681.49,141.07,101.72,92.7
2024-01-12,185.92,154.62,142.65,374.49,388.47,547.1,218.89,492.16,47.12,146.56,596.54,61.0,50.34,106.6,165.8,271.93,158.54,63.2,66.48,144.24,71.84,264.17,429.1,90.35,32.8,47.4,169.05,52.62,377.75,89.7,16.48,38.56,162.54,42.99,99.95,147.27,111.7,28.7,118.63,162.39,521.51,150.6,60.39,167.27,293.47,161.32,355.71,683.24,140.91,105.06,91.98
2024-01-11,185.59,155.18,142.08,369.67,384.63,548.22,227.22,492.23,47.64,148.02,597.49,61.35,50.44,104.77,162.16,271.38,156.51,63.47,67.87,143.67,72.38,264.03,426.72,89.45,33.15,49.04,170.3,52.08,379.75,90.51,16.23,37.9,162.17,43.27,98.67,145.28,111.0,28.4,118.43,161.15,539.68,150.51,59.81,166.13,294.15,161.11,356.53,673.58,142.02,105.9,92.94
2024-01-10,186.19,153.73,142.28,370.47,382.77,543.5,233.94,478.33,47.47,148.54,591.03,60.96,50.24,103.92,161.23,264.13,155.84,62.41,67.9,143.8,71.41,264.56,428.27,89.29,33.6,49.08,171.02,53.02,381.96,91.48,16.87,39.08,163.29,43.48,98.69,144.5,111.18,28.99,118.86,161.87,537.64,149.94,60.2,166.92,294.09,161.29,356.8,672.76,144.09,103.77,93.5
2024-01-09,185.14,151.37,140.95,357.43,375.79,531.4,234.96,482.09,48.05,149.26,586.2,61.05,49.91,103.63,160.08,261.34,152.15,60.3,69.53,142.56,72.02,263.33,422.6,89.67,33.63,49.29,170.66,53.48,383.74,92.06,16.95,39.04,163.2,43.28,99.67,145.7,112.76,29.4,118.43,161.63,538.37,149.3,60.0,167.17,290.87,159.31,346.19,667.18,143.77,102.74,93.09
2024-01-08,185.56,149.1,138.84,358.66,374.69,522.53,240.45,485.03,48.45,146.18,580.55,61.74,50.46,104.66,161.14,260.87,152.56,59.01,69.31,140.53,72.88,262.54,421.98,91.55,34.16,49.92,172.02,54.01,388.86,93.51,17.32,40.1,163.41,43.73,100.92,149.5,114.5,29.58,117.38,161.53,536.52,148.69,60.11,169.11,291.9,158.25,347.93,661.69,141.73,103.62,94.19
2024-01-05,181.18,145.24,135.73,351.95,367.75,490.97,237.49,474.06,46.89,138.58,564.6,60.12,50.09,102.73,159.16,251.12,149.85,57.58,66.96,137.39,73.01,259.69,419.42,90.9,34.43,49.92,172.27,54.33,386.44,93.24,17.47,40.2,163.37,43.04,102.63,150.4,116.53,29.47,117.22,161.13,537.38,147.42,59.67,168.94,288.99,156.71,342.94,656.01,140.75,102.08,92.99
2024-01-04,181.91,144.57,136.39,347.12,367.94,479.98,237.93,474.67,46.87,136.01,567.05,58.45,50.08,102.59,160.86,251.24,148.52,57.8,68.15,138.04,74.66,259.61,419.77,90.56,33.8,49.28,171.41,53.77,382.95,92.15,17.15,39.37,162.3,42.63,102.32,150.66,116.48,29.09,117.01,160.63,545.42,148.65,59.76,171.47,291.74,157.76,338.59,648.35,140.25,102.3,93.55
2024-01-03,184.25,148.47,138.92,344.47,370.6,475.69,238.45,470.26,47.05,135.32,571.79,58.63,50.51,102.46,160.1,251.84,149.79,58.25,68.63,140.36,76.59,257.98,418.77,91.65,33.53,48.68,171.33,53.64,381.79,91.91,17.23,39.16,162.08,43.31,103.22,152.33,119.93,29.73,114.77,160.97,542.03,147.84,59.96,172.95,294.39,159.3,338.26,644.69,138.67,104.04,93.23
2024-01-02,185.64,149.93,138.17,346.29,370.87,481.68,248.42,468.5,47.8,138.58,580.07,61.46,50.51,104.06,161.5,256.13,150.21,58.38,72.22,139.56,74.76,258.87,421.89,90.71,33.9,49.33,172.08,53.04,388.3,93.9,17.25,38.88,161.91,43.67,102.36,149.48,117.59,29.73,113.24,159.97,539.34,148.74,59.82,172.91,297.04,159.29,345.08,650.65,143.1,106.55,93.67
2023-12-29,192.53,151.94,139.69,353.96,376.04,495.22,248.48,486.88,50.25,147.41,596.6,61.41,50.52,105.43,163.55,263.14,154.59,61.57,77.35,140.93,77.51,260.35,426.51,90.29,33.67,49.22,170.1,51.44,385.77,93.25,16.78,37.7,160.33,43.85,99.98,149.16,116.07,28.79,109.02,156.74,526.47,146.54,58.93,169.84,296.51,157.65,346.55,660.08,142.42,108.57,96.01
2023-12-28,193.58,153.38,140.23,358.32,375.28,495.22,253.18,490.51,50.39,148.76,595.52,63.08,50.48,106.25,163.75,265.58,154.33,63.14,79.51,141.28,77.24,260.4,426.32,90.4,33.88,49.48,170.3,51.52,386.41,93.64,16.74,37.49,158.95,44.12,100.19,149.77,116.5,28.79,108.77,156.58,524.9,145.73,58.75,169.39,295.84,157.57,347.36,663.1,142.54,108.82,95.93
2023-12-27,193.15,153.34,140.37,357.83,374.07,494.17,261.44,491.79,50.76,146.07,596.08,62.68,50.44,105.94,163.46,266.72,155.9,63.28,79.6,141.44,76.11,258.93,424.36,90.38,33.84,49.33,169.4,51.46,384.48,93.66,16.58,37.31,157.94,43.99,101.66,151.91,118.49,28.61,107.98,156.35,522.79,146.06,58.71,169.4,294.55,157.88,348.53,666.8,142.38,107.13,95.29
2023-12-26,193.05,153.41,141.52,354.83,374.66,492.79,256.61,491.19,50.5,143.41,598.26,62.56,50.28,106.19,163.21,266.22,153.18,61.98,78.18,142.82,75.85,259.16,423.67,90.95,33.86,49.64,168.39,51.34,381.61,92.84,16.57,37.48,156.83,43.93,102.14,152.41,119.02,28.41,107.63,156.14,520.03,145.94,58.56,168.86,292.86,156.41,349.31,674.62,141.03,108.02,95.67
